"country","region","population","density","lifeexp","fertility","education","military","gdpcapita","unemployment","inequality","inflation","debt","carbon","polrights","corruption"
"Afghanistan","Asia",30419928,46.64,49.72,5.64,4.6,1.9,1000,35,45.6,13.8,22.9,0.03,6,8
"Albania","Europe",3002859,104.45,77.59,1.48,5.6,1.49,7800,13.3,34.5,3.5,58.9,1.63,3,33
"Algeria","Africa",37367226,15.69,74.73,2.78,4.3,3.3,7300,10,35.3,4.5,8.4,2.97,6,34
"Andorra","Europe",85082,181.8,82.5,1.36,3.2,0,37200,2.9,23,1.6,52.4,9.14,1,79
"Angola","Africa",18056072,14.48,54.59,5.54,2.6,3.6,5900,21,45,13.5,18.1,1.34,6,22
"Antigua_and_Barbuda","Caribbean",89018,200.94,75.69,2.05,2.7,0.5,17100,11,45.5,3.3,74.4,8.07,3,47
"Argentina","South_America",42192494,15.17,77.14,2.29,4.9,0.8,17700,7.2,45.8,22,41.7,4.02,2,35
"Armenia","Asia",2970495,99.87,73.49,1.38,3,2.8,5400,5.9,30.9,7.7,41.2,3.89,6,34
"Australia","Oceania",22015576,2.84,81.9,1.77,4.5,3,40800,5.1,30.5,3.4,26.7,18.41,1,85
"Austria","Europe",8219743,98,79.91,1.41,5.4,0.8,41600,4.2,26,3.5,72.2,8.45,1,69
"Azerbaijan","Asia",9493600,109.63,71.32,1.92,2.8,2.6,10200,1,33.7,8.1,5.5,3.7,6,27
"Bahamas,_The","Caribbean",316182,22.78,71.44,1.98,4.9,0.7,30400,14.2,59.2,3.2,78,17.63,1,71
"Bahrain","Middle_East",1248348,1642.56,78.29,1.86,2.9,4.5,27700,15,28,-0.4,54,24.58,6,51
"Bangladesh","Asia",161083804,1118.65,70.06,2.55,2.4,1.3,1900,5,33.2,10.7,33.9,0.35,3,26
"Barbados","Caribbean",287733,669.15,74.52,1.68,6.7,0.8,25000,11.2,26,9.4,79.2,5.46,1,76
"Belarus","Europe",9643566,46.45,71.48,1.45,4.5,1.4,15000,1,27.2,53.3,52.5,7.08,7,31
"Belgium","Europe",10438353,341.93,79.65,1.65,6,1.3,37800,7.2,28,3.5,98,12.19,1,75
"Belize","Central_America",327719,14.27,68.28,3.15,5.7,1.4,8200,13.1,25,-2.5,88.5,2.99,1,71
"Benin","Africa",9598787,85.23,60.26,5.22,3.5,1,1600,21,36.5,2.7,31.3,0.38,2,36
"Bhutan","Asia",716896,18.67,67.88,2.13,4.8,1,5800,4,36.8,8.9,55.3,0.39,4,63
"Bolivia","South_America",10290003,9.37,67.9,2.93,6.3,1.3,4800,7.6,58.2,9.9,34.2,1.29,3,34
"Bosnia_and_Herzegovina","Europe",3879296,75.77,78.96,1.24,7.1,1.4,8100,43.3,36.2,3.7,40.6,5.19,4,42
"Botswana","Africa",2098018,3.61,55.74,2.46,8.9,3.3,16100,7.5,63,8.5,13.4,1.83,3,65
"Brazil","South_America",199321413,23.41,72.79,1.82,4.8,1.7,11800,6,51.9,6.6,54.2,2.28,2,43
"Brunei","Asia",408786,70.91,76.37,1.85,3,4.5,49500,2.7,33.2,2,34.7,20.23,6,55
"Bulgaria","Europe",7037935,63.47,73.84,1.43,4.1,2.6,13800,9.6,45.3,4.2,16.3,5.99,2,41
"Burkina_Faso","Africa",17275115,63,54.07,6.07,4.6,1.2,1300,77,39.5,2.8,36.1,0.08,5,38
"Burma","Asia",54584650,80.68,65.24,2.23,4.5,2.1,1300,5.5,33.4,5,24.1,0.23,7,37
"Burundi","Africa",10557259,379.35,59.24,6.08,8.3,5.9,600,30,42.4,9.7,80.4,0.05,5,19
"Cambodia","Asia",14952665,82.6,63.04,2.78,2.1,3,2200,3.5,44.4,5.5,134,0.24,6,22
"Cameroon","Africa",20129878,42.34,54.71,4.09,3.7,1.3,2300,30,44.6,2.9,13.9,0.37,6,26
"Canada","North_America",34300083,3.44,81.48,1.59,4.9,1.1,40500,7.5,32.1,2.9,87.4,16,1,84
"Cape_Verde","South_America",523568,129.82,71,2.44,5.9,0.5,3900,21,62.9,4.5,77.5,0.52,1,60
"Central_African_Republic","Africa",5057208,8.12,50.48,4.57,1.3,0.9,800,8,61.3,0.1,17.8,0.04,5,26
"Chad","Africa",10975648,8.55,48.69,4.93,3.2,1.7,1900,2.5,44.6,2,43.1,0.03,7,19
"Chile","South_America",17067369,22.57,78.1,1.87,4,2.7,17400,6.6,52.1,3.3,11.2,4.03,1,72
"China","Asia",1343239923,139.97,74.84,1.55,3.6,4.3,8400,6.5,48,5.5,43.5,6.19,7,39
